number, avg elapsed time (s), avg max val, avg rate, max val1, rate 1, max val2, rate 2, max val 3, rate 3, graph, nodes, edges, selection, crossover, mutation, replacement, N, K, S_RATE, M_THRE, P0, POINTS, K_FIT, T, C
49, 180.00, 2789.00, 0.010000, 2806, 0.010000, 2788, 0.010000, 2775, 0.010000, maxcut500, 500, 4990, tornament, reverse, general, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
50, 180.00, 2852.00, 0.013333, 2873, 0.020000, 2810, 0.010000, 2874, 0.010000, maxcut500, 500, 4990, order, reverse, general, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
51, 180.00, 2829.00, 0.010000, 2823, 0.010000, 2853, 0.010000, 2812, 0.010000, maxcut500, 500, 4990, random, reverse, general, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
52, 180.00, 2864.00, 0.010000, 2873, 0.010000, 2861, 0.010000, 2858, 0.010000, maxcut500, 500, 4990, roulette, reverse, general, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
53, 180.00, 2788.00, 0.010000, 2785, 0.010000, 2799, 0.010000, 2780, 0.010000, maxcut500, 500, 4990, sharing, reverse, general, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
54, 180.00, 2807.00, 0.010000, 2800, 0.010000, 2827, 0.010000, 2796, 0.010000, maxcut500, 500, 4990, tornament, reverse, general, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
55, 180.00, 2795.00, 0.010000, 2795, 0.010000, 2789, 0.010000, 2802, 0.010000, maxcut500, 500, 4990, order, reverse, general, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
56, 180.00, 2887.00, 0.010000, 2884, 0.010000, 2909, 0.010000, 2870, 0.010000, maxcut500, 500, 4990, random, reverse, general, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
57, 180.00, 2860.00, 0.010000, 2870, 0.010000, 2841, 0.010000, 2871, 0.010000, maxcut500, 500, 4990, roulette, reverse, general, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
58, 180.00, 2869.00, 0.010000, 2881, 0.010000, 2859, 0.010000, 2868, 0.010000, maxcut500, 500, 4990, sharing, reverse, general, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
59, 180.00, 2800.00, 0.013333, 2791, 0.020000, 2826, 0.010000, 2785, 0.010000, maxcut500, 500, 4990, tornament, reverse, general, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
