rate, elasped time (s), max val, avg val
0.001000, 11, 350, 303.25
0.001000, 11, 350, 304.25
0.001000, 11, 350, 303.78
0.001000, 11, 350, 304.27
0.001000, 11, 350, 303.61
0.001000, 11, 352, 303.96
0.001000, 11, 352, 304.18
0.001000, 11, 352, 304.84
0.001000, 11, 352, 304.81
0.001000, 11, 352, 303.73
0.001000, 12, 352, 304.85
0.001000, 12, 352, 304.69
0.001000, 12, 352, 304.50
0.001000, 12, 352, 304.29
0.001000, 12, 352, 303.49
0.001000, 12, 352, 304.08
0.001000, 12, 352, 304.09
0.002000, 12, 352, 302.86
0.002000, 12, 352, 303.94
0.002000, 12, 352, 304.64
0.002000, 12, 352, 303.90
0.002000, 12, 352, 304.41
0.002000, 12, 352, 302.83
0.002000, 12, 352, 303.32
0.002000, 12, 352, 303.92
0.002000, 12, 352, 303.90
0.002000, 12, 352, 303.61
0.002000, 12, 352, 304.36
0.002000, 12, 352, 304.80
0.002000, 12, 352, 304.71
0.002000, 12, 352, 305.00
0.002000, 12, 352, 304.95
0.002000, 12, 352, 304.84
0.002000, 12, 352, 303.94
0.002000, 12, 352, 305.39
0.002000, 12, 352, 304.71
0.002000, 12, 352, 304.57
0.002000, 12, 352, 304.88
0.003000, 12, 352, 305.30
0.003000, 12, 352, 305.08
0.003000, 12, 352, 304.68
0.003000, 12, 352, 305.48
0.003000, 12, 352, 305.36
0.003000, 12, 352, 305.41
0.003000, 12, 352, 304.55
0.003000, 12, 352, 304.52
0.003000, 12, 352, 305.30
0.003000, 12, 352, 304.78
0.004000, 12, 352, 305.12
0.004000, 12, 352, 305.69
0.004000, 12, 352, 304.80
0.004000, 12, 352, 304.90
0.004000, 12, 352, 305.39
0.004000, 12, 352, 304.94
0.004000, 13, 352, 304.56
0.004000, 13, 352, 304.41
0.004000, 13, 352, 305.19
0.001000, 13, 354, 305.02
0.001000, 13, 354, 305.09
0.001000, 13, 354, 304.64
0.001000, 13, 354, 303.64
0.001000, 13, 354, 303.53
0.001000, 13, 354, 303.61
0.001000, 13, 354, 304.53
0.001000, 13, 354, 304.64
0.001000, 13, 354, 305.43
0.001000, 13, 354, 305.00
0.001000, 13, 354, 304.56
0.001000, 13, 354, 305.06
0.001000, 13, 354, 305.28
0.001000, 13, 354, 305.62
0.001000, 13, 354, 305.11
0.001000, 13, 354, 305.00
0.001000, 13, 354, 304.35
0.001000, 13, 354, 304.15
0.001000, 13, 354, 304.45
0.001000, 13, 354, 305.32
0.001000, 13, 354, 305.41
0.001000, 13, 354, 305.17
0.001000, 13, 354, 305.68
0.001000, 13, 354, 304.88
0.001000, 13, 354, 304.21
0.001000, 13, 354, 305.74
0.001000, 13, 354, 305.29
0.001000, 13, 354, 304.81
0.001000, 13, 354, 305.21
0.001000, 13, 354, 304.79
0.001000, 13, 354, 305.52
0.001000, 13, 354, 305.62
0.001000, 13, 354, 304.87
0.001000, 13, 354, 304.63
0.002000, 13, 354, 305.26
0.002000, 13, 354, 304.88
0.002000, 13, 354, 305.07
0.002000, 13, 354, 304.81
0.002000, 13, 354, 304.99
0.002000, 13, 354, 304.51
0.002000, 13, 354, 303.99
0.002000, 13, 354, 304.27
0.002000, 14, 354, 303.58
0.002000, 14, 354, 304.25
0.002000, 14, 354, 304.52
0.002000, 14, 354, 304.70
0.002000, 14, 354, 304.64
0.002000, 14, 354, 304.83
0.002000, 14, 354, 304.59
0.002000, 14, 354, 304.28
0.002000, 14, 354, 305.46
0.002000, 14, 354, 304.98
0.002000, 14, 354, 305.74
0.002000, 14, 354, 304.92
0.002000, 14, 354, 305.20
0.002000, 14, 354, 304.39
0.002000, 14, 354, 305.92
0.002000, 14, 354, 305.30
0.002000, 14, 354, 304.97
0.002000, 14, 354, 305.38
0.002000, 14, 354, 304.74
0.002000, 14, 354, 305.30
0.002000, 14, 354, 305.54
0.002000, 14, 354, 305.03
0.002000, 14, 354, 305.71
0.002000, 14, 354, 304.90
0.002000, 14, 354, 304.64
0.002000, 14, 354, 305.38
0.002000, 14, 354, 305.21
0.002000, 14, 354, 304.83
0.002000, 14, 354, 305.26
0.002000, 14, 354, 304.66
0.002000, 14, 354, 304.77
0.002000, 14, 354, 304.79
0.002000, 14, 354, 305.37
0.002000, 14, 354, 304.75
0.002000, 14, 354, 305.45
0.002000, 14, 354, 304.98
0.002000, 14, 354, 305.57
0.002000, 14, 354, 305.16
0.002000, 14, 354, 306.15
0.002000, 14, 354, 305.35
0.002000, 14, 354, 305.23
0.002000, 14, 354, 304.19
0.002000, 14, 354, 303.94
0.002000, 14, 354, 304.60
0.002000, 14, 354, 304.38
0.002000, 15, 354, 305.86
0.002000, 15, 354, 305.23
0.002000, 15, 354, 304.60
0.002000, 15, 354, 305.04
0.002000, 15, 354, 304.23
0.002000, 15, 354, 304.28
0.002000, 15, 354, 304.31
0.002000, 15, 354, 305.01
0.002000, 15, 354, 305.32
0.002000, 15, 354, 304.65
0.002000, 15, 354, 304.33
0.002000, 15, 354, 304.58
0.002000, 15, 354, 305.32
0.002000, 15, 354, 305.38
0.002000, 15, 354, 303.81
0.002000, 15, 354, 303.83
